base,reconciliation,level,nodes,rmsse,mase,rmsse_se
ses,bottom_up,state,3,1.1513584423426895,1.3442137407884276,0.12788419704483944
ses,bottom_up,store,10,1.150943036813484,1.3983199729114362,0.13019475377560352
ses,bottom_up,store_cat,30,1.0709828338235061,1.2362541470399244,0.06486334152856817
ses,bottom_up,store_dept,70,1.038787261277377,1.1841490222977988,0.044118249341212314
ses,bottom_up,total,1,1.198271986144441,1.461951080738396,
ses,middle_out,bottom,30490,0.9636836913002184,1.6272867099495205,0.003057271115185835
ses,middle_out,state,3,1.1976315609130348,1.426859000872657,0.18812175783475527
ses,middle_out,store,10,1.3051949899802149,1.576711007394488,0.20338952150970263
ses,middle_out,store_cat,30,1.2769284050237908,1.4711176062601499,0.09001851190623417
ses,middle_out,store_dept,70,1.2533999028051128,1.4627572109564362,0.07960905877251279
ses,middle_out,total,1,1.2339728768445206,1.524818825267193,
ses,ols,bottom,30490,0.9396856461111268,1.6609128378652376,0.002858012398197626
ses,ols,state,3,1.1239830638184807,1.3027487404485834,0.11951041511183863
ses,ols,store,10,1.31135520867708,1.5424064257196621,0.1715960478681447
ses,ols,store_cat,30,1.3322003681365864,1.5244883854639657,0.09953921848126024
ses,ols,store_dept,70,1.4358394687888802,1.6805380979534883,0.14873008927351616
ses,ols,total,1,1.1662503666928972,1.3755521046462067,
ses,top_down,bottom,30490,0.9621060325071742,1.614565300156793,0.0030947095969252204
ses,top_down,state,3,1.2407459048488902,1.4145838354659144,0.07294332717888613
ses,top_down,store,10,1.491214866193657,1.7329134347962998,0.23224257076992183
ses,top_down,store_cat,30,1.3267866038172362,1.486981038090985,0.10932249604330398
ses,top_down,store_dept,70,1.289469296323235,1.4699625696211487,0.09338710621071432
ses,top_down,total,1,1.1635169653927806,1.3635004461623284,
ses,wls_struct,bottom,30490,0.9201179694793344,1.6238243027387722,0.0027550831903291953
ses,wls_struct,state,3,1.1681676763212328,1.3863000987597858,0.1681357316892142
ses,wls_struct,store,10,1.226911652023951,1.4733633821337493,0.1448235497663824
ses,wls_struct,store_cat,30,1.1092678077594962,1.2636348534175115,0.07189696442532117
ses,wls_struct,store_dept,70,1.076524963116055,1.2159832315904189,0.04797985414973279
ses,wls_struct,total,1,1.2036887649497663,1.4726986444716574,
ses,wls_var,bottom,30490,0.9145605926222363,1.6294525774833855,0.002736304094648566
ses,wls_var,state,3,1.154896393986534,1.3539943651030137,0.13621653700692837
ses,wls_var,store,10,1.1556543611260488,1.4088570446275666,0.12983406797861963
ses,wls_var,store_cat,30,1.0708999202750007,1.2378518143969863,0.06476901002084104
ses,wls_var,store_dept,70,1.0408999240204324,1.1875137703757095,0.04406098329800089
ses,wls_var,total,1,1.2025236710262095,1.4704458141635965,
